RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  135    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   70  147     0     0  con    1  3.0E-01  1.2E-01  9.452E-01  1.650E-01
   71  148     0     0  con    0  1.0E+00  1.8E-01  1.177E+00  1.649E-01
   72  149     0     0  con    0  1.0E+00  1.4E-02  9.003E-01  1.648E-01
   73  150     0     0  con    0  1.0E+00  9.2E-02  1.246E+00  1.648E-01
   74  152     0     0  con    1  4.6E-01  1.1E-01  1.212E+00  1.648E-01
   75  153     0     0  con    0  1.0E+00  1.4E-01  1.202E+00  1.647E-01
   76  155     0     0  con    1  7.0E-02  5.6E-02  1.452E+00  1.647E-01
   77  156     0     0  con    0  1.0E+00  1.4E-01  1.330E+00  1.646E-01
   78  157     0     0  con    0  1.0E+00  9.2E-02  1.127E+00  1.646E-01
   79  158     0     0  con    0  1.0E+00  1.1E-02  9.193E-01  1.646E-01
   80  162     0     0  con    3  3.8E-01  2.8E-01  1.072E+00  1.642E-01
   81  166     0     0  con    3  1.4E-03  1.9E-02  1.053E+00  1.642E-01
   82  168     0     0  con    1  4.8E-01  1.5E-02  1.084E+00  1.642E-01
   83  169     0     0  con    0  1.0E+00  1.5E-01  1.415E+00  1.639E-01
   84  171     0     0  con    1  4.6E-01  1.9E-01  1.225E+00  1.637E-01
   85  172     0     0  con    0  1.0E+00  2.3E-01  1.453E+00  1.636E-01
   86  174     0     0  con    1  3.9E-01  5.4E-02  1.187E+00  1.635E-01
   87  175     0     0  con    0  1.0E+00  1.6E-01  1.342E+00  1.634E-01
   88  176     0     0  con    0  1.0E+00  2.0E-01  1.500E+00  1.634E-01
   89  178     0     0  con    1  2.2E-01  5.2E-02  1.229E+00  1.633E-01
   90  182     0     0  con    3  6.2E-03  6.6E-03  1.222E+00  1.632E-01
   91  183     0     0  con    0  1.0E+00  1.3E-01  1.170E+00  1.630E-01
   92  184     0     0  con    0  1.0E+00  1.4E-01  1.385E+00  1.630E-01
   93  185     0     0  con    0  1.0E+00  3.9E-02  1.333E+00  1.629E-01
   94  187     0     0  con    1  2.4E-01  1.2E-02  1.575E+00  1.629E-01
   95  188     0     0  con    0  1.0E+00  1.2E-01  1.300E+00  1.629E-01
   96  189     0     0  con    0  1.0E+00  6.6E-03  1.264E+00  1.629E-01
   97  191     0     0  con    1  2.1E-01  6.2E-03  1.543E+00  1.629E-01
   98  192     0     0  con    0  1.0E+00  6.0E-03  1.250E+00  1.629E-01
   99  193     0     0  con    0  1.0E+00  8.4E-03  1.571E+00  1.629E-01
  100  195     0     0  con    1  1.3E-01  6.3E-03  1.234E+00  1.629E-01
  101  197     0     0  con    1  5.6E-02  1.2E-02  1.583E+00  1.629E-01

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 8.984E-02 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
